2025-06-24 00:01:50,774 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Number of training samples: 192668
2025-06-24 00:01:50,774 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Number of test samples: 48168
2025-06-24 00:12:08,094 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Initial dataset size: 241145
2025-06-24 00:12:08,094 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | After cleaning: 240836
2025-06-24 00:12:08,095 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Removed 309 rows
2025-06-24 00:12:08,095 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | 
Class distribution after cleaning:
2025-06-24 00:12:08,097 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Negative: 55104 (22.88%)
2025-06-24 00:12:08,101 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Neutral: 82713 (34.34%)
2025-06-24 00:12:08,105 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Positive: 103019 (42.78%)
2025-06-24 00:12:27,065 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Experiment: logisticregression
2025-06-24 00:12:27,066 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Number of training samples: 192668
2025-06-24 00:12:27,066 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Number of test samples: 48168
2025-06-24 00:13:27,013 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | Experiment: logisticregression
2025-06-24 00:13:27,013 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | Number of training samples: 192668
2025-06-24 00:13:27,013 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | Number of test samples: 48168
2025-06-24 00:14:27,955 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | Grid search child run 0 params: {'estimator__C': 0.1, 'estimator__penalty': 'l1', 'estimator__solver': 'liblinear'}
2025-06-24 00:14:27,957 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | Grid search child run 0 metrics: accuracy=0.7547749543265239, f1=0.7520538065650078, mean_test_f1=0.7449541205125554
2025-06-24 00:14:27,957 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/models/baseline.py.run_baseline | TF-IDF max_features (vector size): 5000
